title,arxiv_id,abs_url,pdf_url,filename,status,error
Learning to Walk in Minutes Using Massively Parallel Deep Reinforcement Learning,2109.11978,https://arxiv.org/abs/2109.11978,https://arxiv.org/pdf/2109.11978.pdf,2109.11978_learning_to_walk_in_minutes_using_massively_parallel_deep_reinforcement_learning.pdf,downloaded,
Sim-to-Real: Learning Agile Locomotion For Quadruped Robots,1804.10332,https://arxiv.org/abs/1804.10332,https://arxiv.org/pdf/1804.10332.pdf,1804.10332_sim_to_real_learning_agile_locomotion_for_quadruped_robots.pdf,downloaded,
Learning agile and dynamic motor skills for legged robots,1901.08652,https://arxiv.org/abs/1901.08652,https://arxiv.org/pdf/1901.08652.pdf,1901.08652_learning_agile_and_dynamic_motor_skills_for_legged_robots.pdf,downloaded,
Learning Quadrupedal Locomotion over Challenging Terrain,2010.11251,https://arxiv.org/abs/2010.11251,https://arxiv.org/pdf/2010.11251.pdf,2010.11251_learning_quadrupedal_locomotion_over_challenging_terrain.pdf,downloaded,
RMA: Rapid Motor Adaptation for Legged Robots,2107.04034,https://arxiv.org/abs/2107.04034,https://arxiv.org/pdf/2107.04034.pdf,2107.04034_rma_rapid_motor_adaptation_for_legged_robots.pdf,downloaded,
Advanced Skills by Learning Locomotion and Local Navigation End-to-End,2209.12827,https://arxiv.org/abs/2209.12827,https://arxiv.org/pdf/2209.12827.pdf,2209.12827_advanced_skills_by_learning_locomotion_and_local_navigation_end_to_end.pdf,downloaded,
Robot Parkour Learning,2309.05665,https://arxiv.org/abs/2309.05665,https://arxiv.org/pdf/2309.05665.pdf,2309.05665_robot_parkour_learning.pdf,downloaded,
Extreme Parkour with Legged Robots,2309.14341,https://arxiv.org/abs/2309.14341,https://arxiv.org/pdf/2309.14341.pdf,2309.14341_extreme_parkour_with_legged_robots.pdf,downloaded,
Learning Agile Locomotion on Risky Terrains,2311.10484,https://arxiv.org/abs/2311.10484,https://arxiv.org/pdf/2311.10484.pdf,2311.10484_learning_agile_locomotion_on_risky_terrains.pdf,downloaded,
Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End,2310.03581,https://arxiv.org/abs/2310.03581,https://arxiv.org/pdf/2310.03581.pdf,2310.03581_resilient_legged_local_navigation_learning_to_traverse_with_compromised_perception_end_to_.pdf,downloaded,
Agile But Safe: Learning Collision-Free High-Speed Legged Locomotion,2401.17583,https://arxiv.org/abs/2401.17583,https://arxiv.org/pdf/2401.17583.pdf,2401.17583_agile_but_safe_learning_collision_free_high_speed_legged_locomotion.pdf,downloaded,
Real-World Humanoid Locomotion with Reinforcement Learning,2303.03381,https://arxiv.org/abs/2303.03381,https://arxiv.org/pdf/2303.03381.pdf,2303.03381_real_world_humanoid_locomotion_with_reinforcement_learning.pdf,downloaded,
Humanoid-Gym: Reinforcement Learning for Humanoid Robot with Zero-Shot Sim2Real Transfer,2404.05695,https://arxiv.org/abs/2404.05695,https://arxiv.org/pdf/2404.05695.pdf,2404.05695_humanoid_gym_reinforcement_learning_for_humanoid_robot_with_zero_shot_sim2real_transfer.pdf,downloaded,
Learning Human-to-Humanoid Real-Time Whole-Body Teleoperation,2403.04436,https://arxiv.org/abs/2403.04436,https://arxiv.org/pdf/2403.04436.pdf,2403.04436_learning_human_to_humanoid_real_time_whole_body_teleoperation.pdf,downloaded,
OmniH2O: Universal and Dexterous Human-to-Humanoid Whole-Body Teleoperation and Learning,2406.08858,https://arxiv.org/abs/2406.08858,https://arxiv.org/pdf/2406.08858.pdf,2406.08858_omnih2o_universal_and_dexterous_human_to_humanoid_whole_body_teleoperation_and_learning.pdf,downloaded,
WoCoCo: Learning Whole-Body Humanoid Control with Sequential Contacts,2406.06005,https://arxiv.org/abs/2406.06005,https://arxiv.org/pdf/2406.06005.pdf,2406.06005_wococo_learning_whole_body_humanoid_control_with_sequential_contacts.pdf,downloaded,
BeamDojo: Learning Agile Humanoid Locomotion on Sparse Footholds,2502.10363,https://arxiv.org/abs/2502.10363,https://arxiv.org/pdf/2502.10363.pdf,2502.10363_beamdojo_learning_agile_humanoid_locomotion_on_sparse_footholds.pdf,downloaded,
MoE-Loco: Mixture of Experts for Multitask Locomotion,2503.08564,https://arxiv.org/abs/2503.08564,https://arxiv.org/pdf/2503.08564.pdf,2503.08564_moe_loco_mixture_of_experts_for_multitask_locomotion.pdf,downloaded,
CMoE: Contrastive Mixture of Experts for Motion Control and Terrain Adaptation of Humanoid Robots,2603.03067,https://arxiv.org/abs/2603.03067,https://arxiv.org/pdf/2603.03067.pdf,2603.03067_cmoe_contrastive_mixture_of_experts_for_motion_control_and_terrain_adaptation_of_humanoid_.pdf,downloaded,
MoRE: Mixture of Residual Experts for Humanoid Lifelike Gaits Learning on Complex Terrains,2506.08840,https://arxiv.org/abs/2506.08840,https://arxiv.org/pdf/2506.08840.pdf,2506.08840_more_mixture_of_residual_experts_for_humanoid_lifelike_gaits_learning_on_complex_terrains.pdf,downloaded,
Parkour in the Wild: Learning a General and Extensible Agile Locomotion Policy Using Multi-expert Distillation and RL Fine-tuning,2505.11164,https://arxiv.org/abs/2505.11164,https://arxiv.org/pdf/2505.11164.pdf,2505.11164_parkour_in_the_wild_learning_a_general_and_extensible_agile_locomotion_policy_using_multi_.pdf,downloaded,
Toward Reliable Sim-to-Real Predictability for MoE-based Robust Quadrupedal Locomotion,2602.00678,https://arxiv.org/abs/2602.00678,https://arxiv.org/pdf/2602.00678.pdf,2602.00678_toward_reliable_sim_to_real_predictability_for_moe_based_robust_quadrupedal_locomotion.pdf,downloaded,
Quadruped Parkour Learning: Sparsely Gated Mixture of Experts with Visual Input,2604.19344,https://arxiv.org/abs/2604.19344,https://arxiv.org/pdf/2604.19344.pdf,2604.19344_quadruped_parkour_learning_sparsely_gated_mixture_of_experts_with_visual_input.pdf,downloaded,
Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,2304.13705,https://arxiv.org/abs/2304.13705,https://arxiv.org/pdf/2304.13705.pdf,2304.13705_learning_fine_grained_bimanual_manipulation_with_low_cost_hardware.pdf,downloaded,
Denoising Diffusion Probabilistic Models,2006.11239,https://arxiv.org/abs/2006.11239,https://arxiv.org/pdf/2006.11239.pdf,2006.11239_denoising_diffusion_probabilistic_models.pdf,downloaded,
Denoising Diffusion Implicit Models,2010.02502,https://arxiv.org/abs/2010.02502,https://arxiv.org/pdf/2010.02502.pdf,2010.02502_denoising_diffusion_implicit_models.pdf,downloaded,
Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,2303.04137,https://arxiv.org/abs/2303.04137,https://arxiv.org/pdf/2303.04137.pdf,2303.04137_diffusion_policy_visuomotor_policy_learning_via_action_diffusion.pdf,downloaded,
pi0: A Vision-Language-Action Flow Model for General Robot Control,2410.24164,https://arxiv.org/abs/2410.24164,https://arxiv.org/pdf/2410.24164.pdf,2410.24164_pi0_a_vision_language_action_flow_model_for_general_robot_control.pdf,downloaded,
